organization,observation_type,observation_category,rows,positives,positive_rate,min_time,max_time
"ТОО ""Бархатный Тюльпан""",good_practice,Поддержание чистоты и порядка,3,0,0.0,2025-06-05 15:45:00,2025-12-20 14:00:00
"ТОО ""Бархатный Тюльпан""",other,Рабочее место / Эргономика,3,0,0.0,2025-06-04 18:29:00,2025-07-28 15:16:00
"ТОО ""Бархатный Тюльпан""",unsafe_action,Вождение,3,0,0.0,2025-06-23 21:30:00,2025-10-01 13:26:00
"ТОО ""Белая Роза""",good_practice,Трубопроводы / Подземные коммуникации,3,0,0.0,2025-09-10 23:26:00,2025-11-26 16:11:00
"ТОО ""Белая Роза""",good_practice,Электрооборудование,3,0,0.0,2025-10-14 15:10:00,2026-02-06 15:45:00
"ТОО ""Белая Роза""",unsafe_condition,Вождение,3,0,0.0,2025-05-26 14:42:00,2025-06-12 15:01:00
"ТОО ""Белоснежная Азалия""",danger_factor,Целостность объекта / Оборудования,3,0,0.0,2025-06-24 14:58:00,2025-12-01 15:25:00
"ТОО ""Белоснежная Азалия""",unsafe_action,СИЗ / Средства по обеспечению безопасности,3,0,0.0,2025-04-10 15:00:00,2025-12-24 16:15:00
"ТОО ""Белоснежная Азалия""",unsafe_behavior,Земляные работы,3,0,0.0,2025-07-15 15:25:00,2025-11-25 02:59:00
"ТОО ""Белый Лотос KZ""",good_practice,Транспортировка,3,0,0.0,2025-08-26 13:47:00,2026-01-16 17:23:00
"ТОО ""Белый Лотос KZ""",unsafe_action,Сварка / Шлифовка / Отжиг,3,0,0.0,2025-03-16 15:30:00,2025-11-25 16:20:00
"ТОО ""Белый Лотос KZ""",unsafe_condition,Машины и оборудование,3,0,0.0,2025-05-17 15:00:00,2025-08-22 21:12:00
"ТОО ""Весенний Крокус""",good_practice,Вождение,3,0,0.0,2025-08-16 13:09:00,2025-12-28 22:00:00
"ТОО ""Весенний Крокус""",good_practice,Прочее,3,0,0.0,2025-07-29 20:29:00,2025-10-11 01:52:00
"ТОО ""Весенний Крокус""",good_practice,Рабочее место / Эргономика,3,0,0.0,2025-02-24 16:11:00,2025-11-17 15:25:00
"ТОО ""Весенний Крокус""",unsafe_action,Знаки безопасности / Предупредительные таблички,3,0,0.0,2025-11-06 19:41:00,2025-12-16 15:15:00
"ТОО ""Весенний Крокус""",unsafe_condition,Падающие предметы,3,0,0.0,2025-06-26 13:15:00,2025-12-30 20:20:00
"ТОО ""Весенний Крокус""",unsafe_condition,Поддержание чистоты и порядка,3,0,0.0,2025-04-22 15:00:00,2025-08-01 14:15:00
"ТОО ""Весенний Крокус""",unsafe_condition,Целостность объекта / Оборудования,3,0,0.0,2025-06-28 00:06:00,2025-10-19 14:33:00
"ТОО ""Весенний Пион""",danger_factor,Монтажные и грузоподъемные работы,3,0,0.0,2025-07-20 15:12:00,2025-11-13 19:31:00
"ТОО ""Весенний Пион""",danger_factor,Проскальзывание / Спотыкание / Падение,3,0,0.0,2025-08-12 14:15:00,2026-01-15 22:21:00
"ТОО ""Весенний Пион""",good_practice,Рабочее место / Эргономика,3,0,0.0,2025-04-09 21:36:00,2025-12-26 21:00:00
